pdb_file,framework_ca_rmsd,avg_framework_lddt
A6_0.pdb,14.064307267020332,0.9421954686550905
A6_1.pdb,1.0861456560080929,0.9503813015926882
A6_2.pdb,14.130917387115783,0.9376043633703485
A6_3.pdb,1.126401868915858,0.9600436062949722
A6_4.pdb,13.901925354551757,0.933123429927021
A6_5.pdb,0.8893404661209323,0.9679331038239091
A6_6.pdb,1.0681933776226897,0.9515290609072697
A6_7.pdb,14.150834644190319,0.951414568252862
A6_8.pdb,1.1045852080206309,0.9508967381648331
A6_9.pdb,1.155544732483468,0.9507552583355746
A6_10.pdb,14.094899091785098,0.932879282234251
A6_11.pdb,0.9662517112782676,0.9564695442105445
A6_12.pdb,1.130864492825211,0.9660216623878359
A6_13.pdb,14.157626260468573,0.9366877695432815
A6_14.pdb,0.9563956736935734,0.9555047296932748
A6_15.pdb,14.152468826010274,0.9486061624668178
A6_16.pdb,14.10656934488723,0.9353154130439465
A6_17.pdb,14.086313272234742,0.9484399441922337
A6_18.pdb,14.165889518015504,0.9363035517803855
A6_19.pdb,14.078429012333956,0.9354552388802797
A6_20.pdb,1.0703204685134349,0.9545431786516317
A6_21.pdb,14.079842702349637,0.935445709138854
A6_22.pdb,14.192281392284238,0.9476257750211399
A6_23.pdb,14.081928738865788,0.9343044557135312
A6_24.pdb,1.0465679565851307,0.950333571418356
A6_25.pdb,14.17230026062478,0.9412886877000408
A6_26.pdb,1.2373390405626756,0.9588985601198727
A6_27.pdb,14.103836970886933,0.9374996921440172
A6_28.pdb,14.078184858217693,0.9362595416038048
A6_29.pdb,1.0734965279400193,0.949479853727793
A6_30.pdb,1.1705108526154147,0.9478206577846173
A6_31.pdb,1.0743849795998186,0.9590133024300128
A6_32.pdb,14.180972561871034,0.9291779366956944
A6_33.pdb,14.052404409784462,0.9330033061591756
A6_34.pdb,0.8157529705016884,0.9671395119253445
A6_35.pdb,14.09464558881918,0.9520461458987295
A6_36.pdb,0.9204759494301799,0.9735467568963495
A6_37.pdb,14.192687656087417,0.9379483564466974
A6_38.pdb,1.0369822998790337,0.9559147775375034
A6_39.pdb,13.973174166818044,0.9367675763929555
A6_40.pdb,14.173173396571269,0.9464003600320975
A6_41.pdb,14.21202014146762,0.9415978969807559
A6_42.pdb,1.037233700863838,0.9579757778386169
A6_43.pdb,0.9072852573228098,0.9699357669583294
A6_44.pdb,0.8039305373915747,0.9663939951355179
A6_45.pdb,0.9728620799618669,0.9501560333079285
A6_46.pdb,14.066905661535905,0.9351521819668175
A6_47.pdb,0.9533902505463495,0.9614717020519141
A6_48.pdb,14.139111760218771,0.9367293569007393
A6_49.pdb,1.0312403552463338,0.959656866409317
A6_50.pdb,0.8596493659928378,0.9700759919260791
A6_51.pdb,1.0599834225323692,0.9518738983747483
A6_52.pdb,14.148128516133879,0.9344021310581827
A6_53.pdb,14.112424206490962,0.9322381279300838
A6_54.pdb,13.986992855604289,0.9372228522472932
A6_55.pdb,14.036041514176622,0.9363575767516994
A6_56.pdb,0.9978889364475833,0.9552646601178868
A6_57.pdb,14.106607612380282,0.941553600195855
A6_58.pdb,0.7489621090617963,0.9682567252821126
A6_59.pdb,0.7970428198334899,0.9678078927557062
A6_60.pdb,14.03955438352104,0.9488576981230272
A6_61.pdb,1.0026830453932003,0.9536518702160158
A6_62.pdb,1.110106237268746,0.9557540933807512
A6_63.pdb,14.142423648766606,0.9371380398562088
A6_64.pdb,0.7387554810394418,0.9723407462388591
A6_65.pdb,1.0780133590757972,0.9521229106790743
A6_66.pdb,14.134868266435266,0.9369828532182934
A6_67.pdb,14.105760163558383,0.9372214463761013
A6_68.pdb,14.208425978898411,0.9402252446040955
A6_69.pdb,0.5847472706236755,0.9775906998115498
A6_70.pdb,0.9930349810208056,0.9476248570852269
A6_71.pdb,1.053349320188649,0.9678332503364913
A6_72.pdb,0.960411185453139,0.9631862985967472
A6_73.pdb,14.117442870868361,0.9355709935666968
A6_74.pdb,14.066458332519785,0.9420958422346863
A6_75.pdb,0.8791507080680915,0.9591289348415715
A6_76.pdb,0.9949512328665209,0.9521141452067813
A6_77.pdb,14.082584228670386,0.9362182939829823
A6_78.pdb,14.089139058395553,0.9362548101434898
A6_79.pdb,13.998637362456284,0.9319326007228105
A6_80.pdb,0.9759534829181195,0.950786246893572
A6_81.pdb,1.1089004153224904,0.9517049481790332
A6_82.pdb,0.9961657687166047,0.9584791291992873
A6_83.pdb,14.204410623557651,0.9411243189828964
A6_84.pdb,1.0946929158009848,0.9603033657309892
A6_85.pdb,14.03392265901975,0.9461535707931575
A6_86.pdb,14.112047377690171,0.9344055001012107
A6_87.pdb,13.949053761101286,0.932756496858291
A6_88.pdb,14.146253234651617,0.9395128374618177
A6_89.pdb,0.9086434936667275,0.9636952247448187
A6_90.pdb,14.150184750470395,0.9383450460560163
A6_91.pdb,0.7877709794305612,0.9678296041290975
A6_92.pdb,0.819197296388026,0.9693495603104192
A6_93.pdb,0.9686553754558985,0.9580968184917075
A6_94.pdb,14.039881277913015,0.9294906677702481
A6_95.pdb,1.0855174534898606,0.9535572600705349
A6_96.pdb,0.8462138993111631,0.9559596898833921
A6_97.pdb,14.179349948791982,0.9399639447362139
A6_98.pdb,14.090512537770651,0.942042067487819
A6_99.pdb,0.9704910656716358,0.9595314328703414
A6_100.pdb,13.924300888128148,0.93372006804691
A6_101.pdb,14.124292880181121,0.9402783812753348
A6_102.pdb,1.0664944512193233,0.9516479817699006
A6_103.pdb,0.9964630665117262,0.9506929171741508
A6_104.pdb,14.115486810541622,0.9384602398057977
A6_105.pdb,0.8785666204118051,0.9619335069053675
A6_106.pdb,14.07571610850289,0.9435199043133163
A6_107.pdb,14.188939127859369,0.9496009513139352
A6_108.pdb,0.8330124444192171,0.9667677927205718
A6_109.pdb,14.016484517860125,0.9380470692662355
A6_110.pdb,1.0931588095939857,0.9530753882319813
A6_111.pdb,14.060599090011896,0.9269860336976742
A6_112.pdb,14.03136089291309,0.9509473466279104
A6_113.pdb,14.084644815194183,0.9351109348539889
A6_114.pdb,1.1024546824698338,0.9511735337420401
A6_115.pdb,14.150071533334112,0.9295532958591975
A6_116.pdb,14.091934930573949,0.9413165393391026
A6_117.pdb,14.198979058082532,0.9358795989809151
A6_118.pdb,1.007000453440421,0.9544342311319451
A6_119.pdb,14.06146035718171,0.9399784087180842
