region,mae,rmse,coverage
CDR1,0.33648746177966804,0.43497933110478065,0.88
CDR2,0.28687078084969075,0.3780413410874801,0.8888888888888888
CDR3,0.45348126810668593,0.5649190231875947,0.8335260115606936
CDR4,0.22072940441390718,0.3152721064008325,0.9045893719806763
CDR5,0.3144559870251868,0.41431725642804146,0.8822085889570552
CDR6,0.20918825452304526,0.30147758787603673,0.8678815489749431
mean,0.303535526116364,0.40150110768079433,0.8761824017270429
